"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"280","Haywood Highsmith","MIA","2","51.1","13","6","12","0.5","1","4","0.25","0","1","0","2","7","9","3","4","1","1","4","23","12",
"281","Isaac Okoro","CLE","5","85.1","13","4","13","0.308","1","4","0.25","4","7","0.571","4","5","9","7","4","3","2","11","25","5",
"282","Xavier Tillman Sr","BOS","5","73.9","13","5","18","0.278","3","10","0.3","0","0","0","5","11","16","4","3","0","3","6","27","5",
"283","Immanuel Quickley","TOR","1","14.2","13","4","9","0.444","2","4","0.5","3","4","0.75","0","2","2","4","1","0","2","2","15","15",
"284","Jaden Hardy","DAL","4","42.5","13","4","12","0.333","3","9","0.333","2","2","1","1","2","3","3","0","1","4","5","11","3",
"285","Naji Marshall","DAL","4","68","12","4","18","0.222","0","6","0","4","4","1","2","10","12","11","4","0","1","4","33","8",
"286","Kyle Filipowski","UTA","3","34.1","12","5","11","0.455","2","6","0.333","0","2","0","2","7","9","4","1","0","2","3","21","7",
"287","Jonathan Isaac","ORL","2","25.4","11","3","9","0.333","3","6","0.5","2","4","0.5","4","4","8","1","2","2","1","1","18","9",
"288","Patrick Baldwin Jr","WAS","3","16.3","11","5","10","0.5","1","3","0.333","0","0","0","1","3","4","1","0","1","0","2","16","5",
"289","Grayson Allen","PHX","2","33.7","11","3","9","0.333","3","8","0.375","2","2","1","1","2","3","3","1","1","1","5","15","8",
"290","Keon Ellis","SAC","3","43","10","3","8","0.375","1","4","0.25","3","4","0.75","2","6","8","3","5","4","3","7","15","5",
"291","Keaton Wallace","ATL","3","20","10","3","4","0.75","2","2","1","2","2","1","0","2","2","2","0","0","0","0","14","5",
"292","Jamal Cain","NOP","2","26.6","10","4","5","0.8","1","2","0.5","1","2","0.5","1","1","2","1","1","1","1","4","11","6",
"293","Reed Sheppard","HOU","4","37.8","10","4","12","0.333","2","6","0.333","0","0","0","1","2","3","7","1","1","4","4","12","3",
"294","Moussa Diabate","CHA","4","42.1","9","4","8","0.5","0","0","0","1","4","0.25","6","9","15","1","1","2","1","4","23","6",
"295","Alec Burks","MIA","2","33.6","9","3","5","0.6","3","4","0.75","0","0","0","0","3","3","2","0","1","0","0","14","7",
"296","Ricky Council IV","PHI","3","19.8","9","2","6","0.333","1","3","0.333","4","4","1","0","2","2","0","0","0","1","1","9","3",
"297","Jericho Sims","NYK","4","52.4","8","4","5","0.8","0","0","0","0","0","0","5","10","15","1","0","2","1","4","22","6",
"298","Cole Anthony","ORL","4","55.9","8","3","16","0.188","1","10","0.1","1","2","0.5","2","7","9","11","4","1","8","7","12","3",
"299","Bogdan Bogdanovic","ATL","1","27.8","8","2","6","0.333","2","6","0.333","2","2","1","0","2","2","2","0","2","2","3","8","8",
"300","Doug McDermott","SAC","3","12","8","2","7","0.286","2","6","0.333","2","3","0.667","0","0","0","0","0","0","0","2","8","3",
"301","Patty Mills","UTA","4","61.9","7","3","10","0.3","1","7","0.143","0","0","0","0","3","3","3","3","2","1","4","11","3",
"302","Delon Wright","MIL","4","49.3","7","3","8","0.375","1","4","0.25","0","0","0","0","2","2","4","2","1","2","2","9","2",
"303","Tyler Smith","MIL","4","10.2","7","3","5","0.6","1","3","0.333","0","0","0","1","2","3","0","0","0","0","1","10","2",
"304","Dalen Terry","CHI","5","42","7","2","8","0.25","0","2","0","3","4","0.75","1","3","4","2","3","1","2","8","9","2",
"305","Vasilije Micic","CHA","3","44.9","7","3","18","0.167","1","7","0.143","0","0","0","5","6","11","3","1","0","4","2","13","4",
"306","Jaylon Tyson","CLE","4","21.1","7","2","4","0.5","2","2","1","1","2","0.5","0","4","4","2","0","0","3","7","7","2",
"307","Tyler Kolek","NYK","2","9.2","7","1","2","0.5","1","1","1","4","4","1","0","0","0","0","0","0","3","0","1","0",
"308","MarJon Beauchamp","MIL","4","8.6","7","2","6","0.333","1","4","0.25","2","2","1","0","0","0","0","1","0","3","3","1","0",
"309","Shake Milton","BRK","5","42.5","6","2","8","0.25","2","7","0.286","0","0","0","0","3","3","5","1","0","0","5","14","3",
"310","Chris Duarte","CHI","2","6.2","6","2","2","1","2","2","1","0","0","0","0","0","0","1","0","0","0","0","7","4",
"311","Adam Flagler","OKC","4","7.3","6","2","2","1","2","2","1","0","0","0","0","1","1","0","1","0","0","2","7","2",
"312","Keon Johnson","BRK","4","34.7","6","3","11","0.273","0","7","0","0","0","0","2","8","10","1","1","0","1","4","15","4",
"313","Brandon Miller","CHA","1","10.7","6","2","4","0.5","1","2","0.5","1","1","1","1","0","1","1","1","0","1","0","6","6",
"314","Caleb Houstan","ORL","2","10.2","6","2","3","0.667","2","3","0.667","0","0","0","0","1","1","0","0","0","0","2","7","4",
"315","Tristan Thompson","CLE","3","19.1","6","3","4","0.75","0","0","0","0","5","0","0","5","5","1","0","0","2","1","8","3",
"316","Steven Adams","HOU","1","13.9","6","3","3","1","0","0","0","0","1","0","1","2","3","0","0","0","1","3","7","7",
"317","James Wiseman","IND","1","4.6","6","2","4","0.5","0","1","0","2","2","1","0","1","1","0","0","0","0","0","7","7",
"318","Alex Caruso","OKC","4","84","5","2","15","0.133","1","9","0.111","0","1","0","3","9","12","9","9","4","4","6","18","4",
"319","Alex Len","SAC","4","27.3","5","2","5","0.4","0","1","0","1","2","0.5","0","9","9","5","1","2","3","4","13","3",
"320","Maxi Kleber","DAL","2","31.2","5","2","5","0.4","1","2","0.5","0","0","0","0","5","5","3","0","1","0","3","13","6",
"321","Goga Bitadze","ORL","3","16.8","5","2","4","0.5","0","1","0","1","2","0.5","2","3","5","1","0","1","2","1","7","2",
"322","Dalano Banton","POR","3","13.1","5","2","5","0.4","1","2","0.5","0","3","0","0","2","2","2","0","0","1","0","7","2",
"323","Dario Saric","DEN","4","39.3","5","2","9","0.222","0","1","0","1","2","0.5","2","4","6","1","1","0","2","3","8","2",
"324","Matas Buzelis","CHI","5","27.9","5","2","11","0.182","0","5","0","1","2","0.5","1","2","3","3","1","0","1","5","9","2",
"325","Drew Eubanks","UTA","2","10","4","1","2","0.5","1","1","1","1","2","0.5","2","1","3","3","0","0","0","0","10","5",
"326","Craig Porter Jr","CLE","3","13.2","4","2","5","0.4","0","2","0","0","0","0","0","2","2","2","0","2","0","0","8","3",
"327","Andre Jackson Jr","MIL","3","13.1","4","2","3","0.667","0","1","0","0","0","0","1","2","3","3","2","0","1","5","8","3",
"328","Pat Spencer","GSW","2","4.1","4","2","3","0.667","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","2",
"329","Adama Sanogo","CHI","1","8.8","4","2","4","0.5","0","0","0","0","0","0","1","0","1","1","0","0","0","1","6","6",
"330","Enrique Freeman","IND","2","16.1","4","1","1","1","0","0","0","2","2","1","1","0","1","0","0","1","1","2","3","2",
"331","Baylor Scheierman","BOS","2","9.7","4","1","3","0.333","0","2","0","2","2","1","0","1","1","0","0","0","0","1","5","2",
"332","Tidjane Salaun","CHA","2","24.8","3","1","4","0.25","0","3","0","1","2","0.5","1","3","4","3","2","0","1","1","8","4",
"333","Tre Jones","SAS","1","15.6","3","0","2","0","0","0","0","3","4","0.75","1","0","1","3","1","0","0","0","7","7",
"334","Sandro Mamukelashvili","SAS","2","13.8","3","1","3","0.333","1","2","0.5","0","0","0","1","7","8","1","0","1","3","3","6","3",
"335","Nate Williams Jr","HOU","1","2.2","3","1","1","1","1","1","1","0","0","0","0","2","2","0","0","0","0","0","5","5",
